Date,Open,High,Low,Close,Adj Close,Volume
2017-02-02,989.450012,995.000000,981.950012,989.000000,958.942017,1365514
2017-02-03,990.000000,993.900024,981.049988,985.900024,955.936096,465754
2017-02-06,990.099976,1004.950012,985.500000,992.500000,962.335571,744278
2017-02-07,992.000000,1003.950012,990.200012,999.299988,968.928833,577723
2017-02-08,999.299988,1009.900024,981.000000,997.700012,967.377563,1192386
2017-02-09,999.000000,1005.000000,991.000000,1002.849976,972.370911,493191
2017-02-10,1005.900024,1009.000000,990.500000,993.049988,962.868835,479738
2017-02-13,995.000000,1000.000000,981.500000,984.750000,954.821045,643641
2017-02-14,988.000000,988.049988,970.000000,980.799988,950.991028,604108
2017-02-15,981.200012,986.950012,976.000000,981.700012,951.863831,600970
2017-02-16,985.000000,989.549988,967.750000,969.900024,940.422485,932357
2017-02-17,973.000000,973.400024,955.599976,960.799988,931.598938,1142332
2017-02-20,961.000000,979.950012,953.849976,975.750000,946.094604,1092302
2017-02-21,977.700012,993.950012,976.299988,991.500000,961.366028,885074
2017-02-22,995.099976,1025.750000,993.900024,1020.299988,989.290649,2809160
2017-02-23,1030.000000,1030.000000,1005.349976,1009.000000,978.333984,1580357
2017-02-27,1010.000000,1018.549988,999.000000,1001.950012,971.498352,738246
2017-02-28,1003.099976,1026.800049,998.150024,1024.199951,993.072144,1368244
2017-03-01,1030.000000,1040.000000,1026.050049,1032.750000,1001.362427,1124115
2017-03-02,1037.900024,1044.750000,1026.400024,1028.750000,997.483826,1037442
2017-03-03,1027.050049,1027.050049,1006.000000,1013.700012,982.891235,596208
2017-03-06,1020.000000,1033.800049,1016.000000,1029.400024,998.114075,559268
2017-03-07,1030.550049,1032.599976,1020.500000,1023.950012,992.829773,429279
2017-03-08,1024.000000,1034.750000,1015.000000,1022.549988,991.472290,1164247
2017-03-09,1028.500000,1040.800049,1025.000000,1031.099976,999.762451,827512
2017-03-10,1024.099976,1037.199951,1024.099976,1030.250000,998.938293,579487
2017-03-14,1049.800049,1077.800049,1040.599976,1071.400024,1038.837524,1640301
2017-03-15,1068.000000,1075.500000,1061.099976,1064.050049,1031.711060,619852
2017-03-16,1071.250000,1089.500000,1068.250000,1087.550049,1054.496826,1382416
2017-03-17,1090.250000,1092.199951,1075.000000,1079.449951,1046.642822,782439
2017-03-20,1081.800049,1083.000000,1067.150024,1079.699951,1046.885376,423077
2017-03-21,1081.949951,1084.949951,1063.449951,1068.699951,1036.219604,1431610
2017-03-22,1058.000000,1064.150024,1048.550049,1057.849976,1025.699463,661176
2017-03-23,1060.000000,1070.000000,1054.000000,1061.599976,1029.335327,466635
2017-03-24,1062.800049,1073.000000,1061.050049,1064.250000,1031.904907,435183
2017-03-27,1068.000000,1068.000000,1039.949951,1042.900024,1011.203796,833514
2017-03-28,1045.000000,1061.949951,1045.000000,1057.849976,1025.699463,452398
2017-03-29,1062.000000,1079.000000,1057.849976,1068.099976,1035.637939,1345902
2017-03-30,1068.099976,1074.699951,1062.000000,1070.099976,1037.577026,1171200
2017-03-31,1070.000000,1079.500000,1065.000000,1073.500000,1040.873901,937954
2017-04-03,1074.699951,1098.449951,1068.500000,1089.849976,1056.726685,790370
2017-04-05,1094.000000,1094.650024,1068.800049,1082.550049,1049.648804,927397
2017-04-06,1078.400024,1089.000000,1071.500000,1086.900024,1053.866455,690411
2017-04-07,1077.000000,1089.900024,1073.099976,1082.949951,1050.036377,837821
2017-04-10,1078.400024,1080.449951,1057.050049,1059.199951,1027.008301,757492
2017-04-11,1063.699951,1076.750000,1056.550049,1072.500000,1039.904297,731062
2017-04-12,1075.500000,1081.900024,1063.099976,1070.449951,1037.916260,719256
2017-04-13,1070.449951,1081.400024,1066.150024,1078.300049,1045.527954,328677
2017-04-17,1079.550049,1080.000000,1056.449951,1059.349976,1027.153931,506747
2017-04-18,1062.400024,1068.949951,1037.300049,1040.449951,1008.828064,722855
2017-04-19,1044.000000,1056.000000,1033.699951,1048.900024,1017.021301,398732
2017-04-20,1056.000000,1062.750000,1042.500000,1058.800049,1026.620728,493562
2017-04-21,1065.900024,1071.500000,1054.199951,1065.449951,1033.068481,701515
2017-04-24,1066.099976,1074.349976,1063.699951,1069.949951,1037.431641,363436
2017-04-25,1074.699951,1101.949951,1070.000000,1097.900024,1064.532349,1060527
2017-04-26,1104.900024,1122.000000,1092.750000,1104.650024,1071.077026,1870316
2017-04-27,1104.900024,1109.550049,1092.000000,1105.349976,1071.755737,666287
2017-04-28,1106.599976,1124.949951,1105.349976,1120.449951,1086.396851,1012065
2017-05-02,1123.099976,1137.500000,1100.000000,1112.099976,1078.300659,1031522
2017-05-03,1116.000000,1123.949951,1113.000000,1118.900024,1084.894043,476101
2017-05-04,1118.900024,1135.000000,1117.599976,1132.599976,1098.177612,878814
2017-05-05,1135.000000,1160.000000,1134.000000,1146.800049,1111.946045,1518367
2017-05-08,1150.000000,1173.000000,1143.400024,1167.349976,1131.871460,672001
2017-05-09,1172.449951,1176.849976,1160.099976,1165.300049,1129.883911,734416
2017-05-10,1167.099976,1182.000000,1148.150024,1158.300049,1123.096558,1004939
2017-05-11,1159.000000,1178.900024,1152.300049,1166.449951,1130.998657,1003768
2017-05-12,1170.199951,1179.000000,1127.000000,1132.949951,1098.516968,2500503
2017-05-15,1142.900024,1149.900024,1135.000000,1148.050049,1113.157959,729473
2017-05-16,1148.900024,1149.699951,1129.599976,1142.849976,1108.116089,913600
2017-05-17,1143.000000,1159.000000,1136.550049,1154.949951,1119.848389,579709
2017-05-18,1147.150024,1159.800049,1140.000000,1151.349976,1116.357910,702003
2017-05-19,1139.849976,1144.800049,1098.800049,1123.150024,1089.014893,1732673
2017-05-22,1124.250000,1137.849976,1104.000000,1112.550049,1078.737061,1058940
2017-05-23,1119.949951,1126.550049,1091.449951,1098.900024,1065.501831,1374392
2017-05-24,1095.000000,1107.050049,1080.500000,1091.199951,1058.035889,1551698
2017-05-25,1095.550049,1125.000000,1090.050049,1113.199951,1079.367065,1226634
2017-05-26,1124.949951,1148.800049,1124.000000,1132.449951,1098.031982,915210
2017-05-29,1125.000000,1150.000000,1125.000000,1146.550049,1111.703735,460152
2017-05-30,1150.000000,1166.099976,1147.000000,1159.449951,1124.211426,460978
2017-05-31,1159.000000,1165.000000,1144.550049,1151.199951,1116.212280,1488564
2017-06-01,1150.000000,1162.000000,1133.099976,1160.449951,1125.181274,578030
2017-06-02,1161.199951,1174.900024,1160.199951,1164.300049,1128.914063,437401
2017-06-05,1165.000000,1176.400024,1159.500000,1161.550049,1126.247925,425935
2017-06-06,1162.150024,1165.300049,1141.050049,1153.150024,1118.103027,787798
2017-06-07,1154.000000,1168.000000,1146.000000,1161.500000,1126.199341,531046
2017-06-08,1174.800049,1174.800049,1140.199951,1143.300049,1108.552490,1202971
2017-06-09,1145.000000,1157.599976,1132.150024,1155.750000,1120.624146,559008
2017-06-12,1154.400024,1158.650024,1142.599976,1150.699951,1115.727539,649908
2017-06-13,1151.199951,1154.250000,1142.250000,1149.699951,1114.757935,855507
2017-06-14,1151.000000,1152.849976,1126.250000,1149.599976,1114.660767,931530
2017-06-15,1148.000000,1150.000000,1133.349976,1140.300049,1107.570679,1003963
2017-06-16,1142.699951,1149.800049,1128.449951,1145.400024,1112.524170,1184164
2017-06-19,1149.000000,1158.000000,1137.949951,1154.150024,1121.022949,808994
2017-06-20,1155.099976,1156.849976,1144.500000,1149.449951,1116.457764,804319
2017-06-21,1158.000000,1160.400024,1149.900024,1155.400024,1122.236938,553929
2017-06-22,1157.000000,1171.000000,1156.599976,1162.550049,1129.182007,651018
2017-06-23,1163.000000,1164.500000,1146.099976,1153.650024,1120.537231,596082
2017-06-27,1157.000000,1168.349976,1130.000000,1134.150024,1101.596924,484244
2017-06-28,1125.000000,1128.849976,1099.000000,1109.150024,1077.314453,930404
2017-06-29,1112.000000,1126.949951,1100.000000,1104.550049,1072.846436,460382
2017-06-30,1099.949951,1112.000000,1083.300049,1102.949951,1071.292358,617697
2017-07-03,1107.000000,1123.449951,1104.199951,1120.250000,1088.095825,512386
2017-07-04,1123.800049,1126.449951,1106.800049,1108.550049,1076.731812,549148
2017-07-05,1108.550049,1135.000000,1108.550049,1126.650024,1094.312256,837353
2017-07-06,1135.000000,1144.000000,1127.849976,1132.150024,1099.654541,532283
2017-07-07,1135.000000,1135.400024,1112.050049,1115.449951,1083.433838,364301
2017-07-10,1120.250000,1160.949951,1116.050049,1127.750000,1095.380615,70264
2017-07-11,1125.000000,1135.000000,1122.599976,1131.750000,1099.265869,532133
2017-07-12,1136.000000,1137.400024,1124.099976,1133.699951,1101.159912,373345
2017-07-13,1139.800049,1144.250000,1121.250000,1125.500000,1093.195313,764694
2017-07-14,1128.250000,1128.949951,1112.050049,1117.349976,1085.279297,872831
2017-07-17,1120.599976,1128.699951,1115.250000,1125.449951,1093.146606,1260921
2017-07-18,1118.000000,1150.000000,1117.000000,1146.599976,1113.689575,648737
2017-07-19,1154.949951,1158.000000,1146.050049,1155.849976,1122.673950,964588
2017-07-20,1156.900024,1157.849976,1133.949951,1155.550049,1122.382568,1287749
2017-07-21,1156.000000,1172.500000,1148.000000,1156.099976,1122.916748,2017663
2017-07-24,1151.599976,1159.500000,1140.000000,1155.750000,1122.577026,2063340
2017-07-25,1160.050049,1165.000000,1140.000000,1150.099976,1117.089233,2963793
2017-07-26,1134.000000,1144.800049,1126.000000,1134.000000,1101.451416,1973462
2017-07-27,1136.550049,1153.000000,1136.050049,1148.800049,1115.826538,1033335
2017-07-28,1148.000000,1156.900024,1139.000000,1153.250000,1120.148926,616845
2017-07-31,1154.150024,1164.000000,1146.099976,1161.699951,1128.356201,777721
2017-08-01,1162.000000,1163.000000,1140.500000,1148.199951,1115.243652,1176561
2017-08-02,1150.000000,1152.000000,1135.000000,1144.500000,1111.649902,848781
2017-08-03,1143.000000,1148.900024,1127.099976,1146.099976,1113.203735,997619
2017-08-04,1144.000000,1159.949951,1140.650024,1157.300049,1124.082642,529318
2017-08-07,1160.000000,1160.750000,1142.400024,1149.650024,1116.652222,576280
2017-08-08,1146.000000,1151.500000,1139.099976,1147.349976,1114.417969,600256
2017-08-09,1147.800049,1158.900024,1140.099976,1155.550049,1122.382568,530763
2017-08-10,1154.000000,1160.300049,1146.000000,1151.099976,1118.060547,649594
2017-08-11,1135.650024,1148.750000,1121.199951,1143.900024,1111.067139,843233
2017-08-14,1149.449951,1163.699951,1145.000000,1154.000000,1120.877075,511994
